Model,Accuracy,Precision,PPV,Recall,Specificity,NPV,F1-Score,ROC-AUC,AUPRC,True Positives,False Positives,True Negatives,False Negatives
XGBoost,0.949874686716792,0.6666666666666666,0.6666666666666666,0.09523809523809523,0.9973544973544973,0.952020202020202,0.16666666666666666,0.7823759133282943,0.2755650746697021,4,2,754,38
StackingClassifier,0.949874686716792,0.6666666666666666,0.6666666666666666,0.09523809523809523,0.9973544973544973,0.952020202020202,0.16666666666666666,0.7635739480977577,0.27061969476891196,4,2,754,38
VotingClassifier,0.9486215538847118,1.0,1.0,0.023809523809523808,1.0,0.9485570890840652,0.046511627906976744,0.7614638447971781,0.26551010518105056,1,0,756,41
RandomForest,0.9473684210526315,0.5,0.5,0.023809523809523808,0.9986772486772487,0.9484924623115578,0.045454545454545456,0.7324263038548753,0.21722664600428238,1,1,755,41
SVM,0.9373433583959899,0.16666666666666666,0.16666666666666666,0.047619047619047616,0.9867724867724867,0.9491094147582697,0.07407407407407407,0.7122071050642479,0.12852952922395167,2,10,746,40
LogisticRegression,0.9511278195488722,0.8,0.8,0.09523809523809523,0.9986772486772487,0.9520807061790668,0.1702127659574468,0.6670445956160242,0.2313713043703431,4,1,755,38
