model,fold,roc_auc,pr_auc,trained,best_epoch,ckpt_path
tcn,1,0.7392008639308856,0.11426861134690897,False,1,artifacts\demo_5signals\models\tcn\fold1.pt
tcn,2,0.7778617710583153,0.23570966984183975,False,4,artifacts\demo_5signals\models\tcn\fold2.pt
tcn,3,0.6062667491238921,0.18963554280906064,False,7,artifacts\demo_5signals\models\tcn\fold3.pt
tcn,4,0.5268398268398269,0.06118694748014585,False,1,artifacts\demo_5signals\models\tcn\fold4.pt
tcn,5,0.7203463203463203,0.13061316235239614,False,10,artifacts\demo_5signals\models\tcn\fold5.pt
